key,value
20030031,只能在建筑修建时使用的加速道具
20040011,只能在科技研究时使用的加速道具
20040021,只能在科技研究时使用的加速道具
20040031,只能在科技研究时使用的加速道具
28010010,一点点钻石
28010020,一堆钻石
28010030,一大堆钻石
28010040,一袋钻石
28010050,一大袋钻石
28020010,一点点金币
28020020,一堆金币
28020030,一大堆金币
28020040,一袋金币
28020050,一大袋金币
28030010,lv1 礼包
28030020,lv2 礼包
28030030,lv3 礼包
28030040,lv4 礼包
28030050,lv5 礼包
28030060,lv6 礼包
28030070,lv7 礼包
28030080,lv8 礼包
28030090,lv9 礼包
28030100,lv10 礼包
28030110,lv11 礼包
28030120,lv12 礼包
28030130,lv13 礼包
28030140,lv14 礼包
28030150,lv15 礼包
21000050,lv1 礼包
21000060,lv2 礼包
21000070,lv3 礼包
21000080,lv4 礼包
21000090,lv5 礼包
21000100,lv6 礼包
21000110,lv7 礼包
21000120,lv8 礼包
21000130,lv9 礼包
21000140,lv10 礼包
21000150,lv11 礼包
21000160,lv12 礼包
21000170,lv13 礼包
21000180,lv14 礼包
21000190,lv15 礼包
21000051,打开可以获得道具
21000061,打开可以获得道具
21000071,打开可以获得道具
21000081,打开可以获得道具
21000091,打开可以获得道具
21000101,打开可以获得道具
21000111,打开可以获得道具
21000121,打开可以获得道具
21000131,打开可以获得道具
21000141,打开可以获得道具
21000151,打开可以获得道具
21000161,打开可以获得道具
21000171,打开可以获得道具
21000181,打开可以获得道具
21000191,打开可以获得道具
21000210,土地使用券LV0
21000220,土地使用券LV1
21000230,土地使用券LV2
21000240,土地使用券LV3
21000250,土地使用券LV4
21000260,土地使用券LV5
21000270,土地使用券LV6
21000280,土地使用券LV7
21000290,土地使用券LV8
21000300,土地使用券LV9
21000310,土地使用券LV10
21000320,土地升级券
21000330,效率卡
21000211,使用后可以获得lV0的领地
21000221,使用后可以获得lV1的领地
21000231,使用后可以获得lV2的领地
21000241,使用后可以获得lV3的领地
21000251,使用后可以获得lV4的领地
21000261,使用后可以获得lV5的领地
21000271,使用后可以获得lV6的领地
21000281,使用后可以获得lV7的领地
21000291,使用后可以获得lV8的领地
21000301,使用后可以获得lV9的领地
21000311,使用后可以获得lV10的领地
21000321,领地升级时使用的升级券
21000331,土地产出翻倍
000000000000000,000000000000000000000000
71201,账号不存在
71202,登录超时
71203,账号被封 
71204,没有登录
71205,令牌无效
71206,指定的属性不是可以由客户端设定的
71207,属性字符串太长了
71208,没有指定昵称的账号
71209,登录名不存在
71210,二次登录
71211,昵称字符串太长了
71301,路径不连续
71302,起始坐标不正确
71303,找不到指定的单位
71304,不能操作不是自己的单位
71305,指定的单位不可移动
71401,找不到指定的城堡
71402,不能操作不是自己的城堡
71403,没有指定的地块
71404,指定的地块上已经有建筑了
71405,指定的地块上不能建造该类型建筑物
71406,指定地块上没有正在进行的操作
71407,其他操作进行中
71408,建造或升级的资源不够
71409,建筑已满级
71410,指定的地块上没有建筑
71411,指定的建筑不能拆
71412,要求的其他建筑级别不够
71413,指定科技上没有正在进行的操作
71414,其他操作进行中
71415,科技已满级
71416,建筑 id 无效
71417,科技 id 无效
71418,科技开放要求其他建筑级别不够
71419,每个建筑只能造一个
71502,消耗道具数量不够
castle_1,敬请期待！
public_year,年
public_month,月
public_day,日
public_time,时
public_minute,分
public_second,秒
public_millisecond,毫秒
public_bag_full,背包已满
public_ok,确定
public_cancel,取消
public_delete,删除
Language2,死亡
Language3,你是猪
denglu_0,派克帝国 最终用户服务协议
denglu_1,[首部及导言]
denglu_2,请输入手机收到新密码
denglu_3,手机号 : 12345678912
denglu_4,重新发送短信
denglu_5,秒后重新发送
denglu_6,新密码错误
denglu_7,登 录
denglu_8,已有账号登录
denglu_9,确定退出游戏吗?
denglu_10,获取应用缓存目录失败，请确认安装是否正确
denglu_11,获取图片目录失败，请确认SD卡是否插入
denglu_12,请确认该目录是否包含图片文件
denglu_13,是否选择该图片
denglu_14,请重启游戏以便更新生效!
denglu_15,读取游戏配置失败，请稍后再试
denglu_16,请确认检查网络是否连接
denglu_17,密码错误，剩余使用次数
denglu_18,次
denglu_19,该账号已被冻结，请手动找回
denglu_20,接收服务器数据错误
denglu_21,该账号不存在，请尝试手动登陆
denglu_22,自动登陆有效期失效，请尝试手动登陆
denglu_23,未知错误，错误代码:
denglu_24,服务器未知错误，请稍后再试
denglu_25,服务器正在更新维护，请稍后再来
denglu_26,重置密码请求已过期，请重新发送
denglu_27,手机
denglu_28,秒后重新发送
denglu_29,手机号码非法
denglu_30,请输入正常的手机号码，它将是您找回密码的唯一方法
denglu_31,手机号码重复，点击可以
denglu_32,获取登陆信息失败，请稍后再试
denglu_33,账号被锁定
denglu_34,账号名称太长
denglu_35,账号被封
denglu_36,服务器未知错误，请稍后再试
denglu_37,服务器正在更新维护，请稍后再来
denglu_38,账号不存在
denglu_39,请勿短时间内重复找回密码，点击下一步
denglu_40,请勿短时间内重复找回密码，请稍后再试
denglu_41,确定退出游戏吗？
denglu_42,派克帝国，你的帝国
denglu_43,为策略竞技爱好者极致体验打造
denglu_44,锻炼思维
denglu_45,愉快的玩耍
denglu_46,输入手机号码
denglu_47,输入密码
denglu_48,新用户注册
denglu_49,密码忘记?
denglu_50,输入昵称
denglu_51,昵称非法，请正确输入
denglu_52,保存并进入游戏
denglu_53, 号码错误
denglu_54, 密码错误
denglu_55,请输入手机收到新密码
denglu_56,手机号 : 12345678912
denglu_57,短信新密码
denglu_58,00 秒后重新发送
denglu_59,重新发送短信
denglu_60,新密码错误
denglu_61,已有账号登录
denglu_62,找回密码
denglu_63,手机号错误
denglu_64,下一步
denglu_65,已有账户登录
denglu_66,手机号码重复
denglu_67,输入邀请码
denglu_68,邀请码错误
denglu_69,快速注册
denglu_70,注册或登录游戏表示您同意
denglu_71,最终用户协议
denglu_72,更新遇到问题，请稍后再试
denglu_73,地块名称:
denglu_74,基础资源产量:
denglu_75,战略资源产量:
denglu_76,坐标:
denglu_77,点击修改名称
dikuai_1,领地升级
dikuai_2,地块详情
dikuai_3,添加收藏
dikuai_4,确 认
dikuai_5,取 消
xiangqing_0,拆除
xiangqing_1,等级
xiangqing_2,等级
xiangqing_3,粮食
xiangqing_4,木材
xiangqing_5,石头
xiangqing_6,铁矿
xiangqing_7,马匹
xiangqing_8,赤铜
xiangqing_9,铁木
xiangqing_10,战斗力
xiangqing_11,城防值
xiangqing_12,可解锁技能
xiangqing_13,攻击力
xiangqing_14,繁荣度
xiangqing_15,获取更多
xiangqing_16,加速
xiangqing_17,跳转
xiangqing_18,正在升级
shengji_0,升级
shengji_1,要求
shengji_2,下一等级
chengqiang_1,当前城防值
chengqiang_2,维修所需：
chengqiang_3,修复
chengqiang_4,点城防
chengqiang_5,目前没有人攻破你的城堡，城墙完好无缺。
college_1,提高等级可以提高新的科技
college_2,内政科技
college_3,战斗科技
college_4,城市发展
college_5,城市防御
college_6,技能升级
college_7,技能名称：
college_8,需要消耗资源：
college_9,升级后的技能属性：
college_10,确认升级
college_11,取消升级
college_12,升级剩余时间：
college_13,取消研究科技，只能退还
college_14,放 弃
college_15,确认取消
college_16,升 级
college_17,加 速
college_18,功能未开放敬请期待
college_19,学院等级不足请先升级学院等级
college_20,进阶
accelerate_0,确认
accelerate_1_0,训练加速
accelerate_1_1,升级加速
accelerate_1_2,学院加速
accelerate_2,确认使用的加速道具
accelerate_3,加速时间
mail_0,时间
mail_1,主题
mail_2,删除
mail_3,发件人
mail_4,全部删除
mail_5,全部收取
mail_6,附件
mail_7,收取
mail_8,之前
mail_9,没有邮件
mail_10,是否删除所有不带附件的邮件？
mail_11,没有附件可领取
head_1,角色昵称:
head_2,主城昵称:
head_3,账号官职:
head_4,账号等级:
head_5,所属公会:
head_6,修改头像
head_7,注销游戏
head_8,退出游戏
head_9,购 买
head_10,头像选择
head_11,更 换
head_12,取 消
head_13,战斗力：
head_14,繁荣度：
head_15,武力值：
head_16,游戏音乐
head_17,游戏音效
head_18,修改昵称
head_19,修改角色昵称
head_20,确 认
head_21,点击输出名称
citadelResource_1,选择资源类型
citadelResource_2,一键收获
citadelResource_3,领地总数
citadelResource_4,总资源产出
citadelResource_5,总资源消耗
citadelResource_6,小时
citadelResource_7,领地坐标
citadelResource_8,单个资源产出
citadelResource_9,当前累积资源
citadelResource_10,领地累积上限
citadelResource_11,使用双倍卡
citadelResource_12,已用双倍卡
citadelResource_13,基础资源
citadelResource_14,战略资源
pay_1,充 值
pay_2,兑换黄金
pay_3,购买礼包
pay_4,热卖
pay_5,每日限购
pay_6,首次翻倍
pay_7,仅限一次
pay_8,活动特惠
pay_9,兑换
pay_10,获得
pay_11,充值
friend_0_0,好友列表
friend_0_1,添加好友
friend_0_2,申请列表
friend_1,姓名
friend_2,战力
friend_3,等级
friend_4,签名
friend_5,删除
friend_6,这家伙很懒，什么也没有留下.
friend_7,修改
friend_8,好友数量
friend_9,私聊
friend_10,好友
friend_11,个性签名
friend_12,同意
friend_13,拒绝
friend_14,全部
friend_15,当前申请人数
friend_16,申请
friend_17,换一批
friend_18,查找
friend_19,点击输入玩家昵称
friend_20,还没有好友申请哦~或许可以去聊天喊喊~
sign_1,每日签到
sign_2,第一天
sign_3,第二天
sign_4,第三天
sign_5,第四天
sign_6,第五天
sign_7,第六天
sign_8,第七天
sign_9,领取奖励
sign_10,已领取
sign_11,签到成功
store_1,战 争
store_2,增 益
store_3,其 他
store_4,购买物品
store_5,确认要花费
store_6,去购买这个物品
store_7,(已拥有:
store_8,获得道具
mainmenu_0,好友
mainmenu_1,邮件
mainmenu_2,收藏夹
mainmenu_3,世界地图
mainmenu_4,商城
mainmenu_5,背包
mainmenu_100,返回地图
mainmenu_101,我的主城
mainmenu_102,我的部队
mainmenu_103,切换
bag_1,拥有
bag_2,件
bag_3,使用数量:
bag_4,输入使用数量
bag_5,使 用
bag_6,使用道具数量不能为0
collect_0_0,资源
collect_0_1,敌人
collect_0_2,好友
collect_0_3,其他
collect_1,添加收藏
collect_2,编辑
collect_3,坐标
collect_4,点击修改名称
collect_5,名称不能为空
collect_6,字符长度不能超过
collect_7,收藏已经到上限了
assembled_1,军团上限
assembled_2,军团名称:
assembled_3,部队状态:
assembled_4,士兵数量:
assembled_5,所在位置:
assembled_6,剩余时间:
assembled_7,补 兵
assembled_8,解 散
assembled_9,缺啥补啥，能一次性补充所有的兵力哦！！！
assembled_10,一键补兵
assembled_11,添加部队
assembled_12,部队上限
assembled_13,确 认
assembled_14,解散部队
assembled_15,是否确认解散部队，解散部队后所有士兵将不会回到主城
assembled_16,取 消
assembled_17,补充部队
assembled_18,新增军团
mainCitys_0,主城名称
mainCitys_1,主城状态
mainCitys_2,城池位置
mainCitys_3_0,正常
block_1,剩余数量:
block_2,升级前领地产量：
block_3,升级后领地产量：
block_4,等级:
block_5,级
useScroll_0,使用土地倦
useScroll_1,使用
useScroll_2,小时
useScroll_3,等级
useScroll_4,请选中地块产出
useScroll_5,请选中土地使用券
