key,value
denglu_58,00 秒后重新发送
denglu_59,重新发送短信
denglu_60,新密码错误
denglu_61,已有账号登录
denglu_62,找回密码
denglu_63,手机号错误
denglu_64,下一步
denglu_65,已有账户登录
denglu_66,手机号码重复
denglu_67,输入邀请码
denglu_68,邀请码错误
denglu_69,快速注册
denglu_70,注册或登录游戏表示您同意
denglu_71,最终用户协议
denglu_72,更新遇到问题，请稍后再试
denglu_73,地块名称:
denglu_74,基础资源产量:
denglu_75,战略资源产量:
denglu_76,坐标:
denglu_77,点击修改名称
xiangqing_0,拆除
xiangqing_1,等级
xiangqing_2,等级
xiangqing_3,粮食
xiangqing_4,木材
xiangqing_5,石头
xiangqing_6,铁矿
xiangqing_7,马匹
xiangqing_8,赤铜
xiangqing_9,铁木
xiangqing_10,战斗力
xiangqing_11,城防值
xiangqing_12,可解锁技能
shengji_0,升级
shengji_1,要求
shengji_2,下一等级
chengqiang_1,当前城防值
chengqiang_2,维修所需：
chengqiang_3,修复
chengqiang_4,点城防
chengqiang_5,目前没有人攻破你的城堡，城墙完好无缺。
college_1,提高等级可以提高新的科技
college_2,内政科技
college_3,战斗科技
college_4,城市发展
college_5,城市防御
college_6,技能升级
college_7,技能名称：
college_8,需要消耗资源：
college_9,升级后的技能属性：
college_10,确认升级
college_11,取消升级
college_12,升级剩余时间：
college_13,取消研究科技，只能退还
college_14,放 弃
college_15,确认取消
